Extension,Load
3.1504,10.35006
3.16,10.43447
3.17013,10.51266
3.18053,10.59553
3.19013,10.67895
3.20027,10.76206
3.21053,10.84935
3.22027,10.93038
3.23013,11.01583
3.24053,11.10252
3.25,11.18469
3.25973,11.26491
3.2704,11.35665
3.27987,11.43772
3.29,11.51623
3.30067,11.60963
3.31,11.69167
3.32013,11.77902
3.33067,11.87861
3.34013,11.9615
3.35027,12.05707
3.36053,12.15169
3.37013,12.23951
3.38,12.32827
3.3904,12.42422
3.4,12.50286
3.41,12.59471
3.42067,12.69558
3.43,12.77981
3.44027,12.87127
3.45053,12.96868
3.46,13.06051
3.4704,13.15323
3.48067,13.25136
3.49,13.33935
3.5004,13.43703
3.5104,13.52053
3.51987,13.60276
3.53013,13.69556
3.54027,13.77903
3.55,13.86487
3.56013,13.94745
3.57053,14.0376
3.58,14.12182
3.59013,14.2059
3.60053,14.30416
3.60987,14.38983
3.62027,14.47613
3.6304,14.5746
3.63973,14.64961
3.65027,14.74513
3.66027,14.83391
3.66973,14.91614
3.6804,15.01404
3.69027,15.10314
3.7,15.18629
3.7104,15.27964
3.72027,15.36193
3.73013,15.44644
3.7404,15.5321
3.7504,15.62369
3.76,15.70295
3.7704,15.79126
3.78013,15.88359
3.78987,15.96637
3.80027,16.06322
3.81013,16.14736
3.81987,16.22914
3.8304,16.32224
3.84,16.40739
3.84987,16.48906
3.86053,16.5765
3.87013,16.6565
3.88013,16.73917
3.89053,16.82415
3.90013,16.90616
3.91,16.9866
3.9204,17.07582
3.93,17.16617
3.93973,17.25555
3.95053,17.35509
3.96,17.44556
3.97,17.53369
3.98067,17.63446
3.99013,17.7268
4.00013,17.8182
4.0108,17.91569
4.02013,18.0056
4.03027,18.09285
4.04053,18.18757
4.04987,18.27401
4.06,18.36387
4.0704,18.45115
4.08,18.53948
4.09013,18.62757
4.1004,18.71167
4.11013,18.79397
4.12,18.8855
4.13067,18.97272
4.14013,19.06382
4.15,19.15051
4.16067,19.25362
4.17,19.3493
4.18013,19.45307
4.19053,19.55634
4.19973,19.6485
4.21,19.75258
4.22053,19.85408
4.23,19.95057
4.24027,20.05308
4.2504,20.15303
4.26013,20.25351
4.27027,20.35835
4.28067,20.45358
4.29013,20.55268
4.30013,20.65615
4.3104,20.75
4.31973,20.84082
4.33,20.93602
4.34027,21.03595
4.34973,21.1339
